user_id,user_transaction
15792818,1/20/2022
15776733,1/3/2022
15689425,1/21/2022
15768816,1/31/2022
15665416,1/13/2022
15722758,1/13/2022
15792102,1/26/2022
15570932,1/18/2022
15644296,1/18/2022
15730448,1/12/2022
15800890,1/14/2022
15636023,1/1/2022
15801336,1/30/2022
15673539,1/27/2022
15733883,1/16/2022
15599081,1/4/2022
15673619,1/31/2022
15610140,1/28/2022
15619407,1/20/2022
15746203,1/1/2022
15680752,1/10/2022
15727467,1/21/2022
15736397,1/1/2022
15598070,1/6/2022
15652400,1/1/2022
15717893,1/21/2022
15587177,1/9/2022
15591915,1/5/2022
15649136,1/9/2022
15577178,1/7/2022
15668385,1/11/2022
15672091,1/25/2022
15574305,1/17/2022
15750839,1/20/2022
15715160,1/13/2022
15628523,1/30/2022
15766609,1/31/2022
15707596,1/27/2022
15795224,1/7/2022
15609637,1/16/2022
15611191,1/8/2022
15579212,1/2/2022
15800515,1/12/2022
15724150,1/17/2022
15570769,1/1/2022
15617482,1/5/2022
15592877,1/29/2022
15699284,1/6/2022
15594577,1/9/2022
15735549,1/1/2022
15809347,1/3/2022
15732987,1/5/2022
15685346,1/9/2022
15795298,1/22/2022
15584320,1/10/2022
15764604,1/25/2022
15665760,1/20/2022
15776844,1/6/2022
15716781,1/7/2022
15603246,1/2/2022
15774179,1/31/2022
15682268,1/17/2022
15710257,1/21/2022
15756820,1/27/2022
15675949,1/12/2022
15811613,1/17/2022
15814816,1/6/2022
15753102,1/2/2022
15627220,1/5/2022
15807837,1/12/2022
15600575,1/26/2022
15789109,1/26/2022
15800061,1/4/2022
15646227,1/28/2022
15617877,1/24/2022
15688172,1/29/2022
15623502,1/3/2022
15588080,1/14/2022
15729908,1/1/2022
15768151,1/17/2022
15573926,1/9/2022
15654296,1/12/2022
15606274,1/18/2022
15595324,1/27/2022
15631912,1/16/2022
15741049,1/8/2022
15638963,1/22/2022
15762605,1/7/2022
15599533,1/7/2022
15579781,1/9/2022
15582066,1/12/2022
15778368,1/17/2022
15749381,1/17/2022
15594041,1/10/2022
15598044,1/2/2022
15694829,1/7/2022
15621083,1/23/2022
15729054,1/11/2022
15582492,1/7/2022
15783029,1/7/2022
15779862,1/17/2022
15724536,1/6/2022
15779529,1/10/2022
15780572,1/10/2022
15769596,1/19/2022
15778830,1/20/2022
15715622,1/31/2022
15668575,1/3/2022
15628972,1/12/2022
15809823,1/15/2022
15687491,1/26/2022
15666141,1/12/2022
15746422,1/14/2022
15602373,1/31/2022
15724161,1/17/2022
15794493,1/19/2022
15680587,1/16/2022
15589449,1/1/2022
15638646,1/6/2022
15705298,1/1/2022
15787550,1/28/2022
15768072,1/9/2022
15596984,1/15/2022
15744919,1/31/2022
15807481,1/31/2022
15718071,1/2/2022
15779581,1/23/2022
15657163,1/15/2022
15742204,1/19/2022
15785170,1/15/2022
15769902,1/12/2022
15683758,1/24/2022
15806901,1/7/2022
15714658,1/14/2022
15690188,1/13/2022
15792008,1/9/2022
15793813,1/5/2022
15595917,1/12/2022
15660200,1/27/2022
15725660,1/26/2022
15668504,1/22/2022
15697574,1/19/2022
15614827,1/18/2022
15774727,1/14/2022
15571059,1/15/2022
15689751,1/12/2022
15708196,1/22/2022
15736228,1/26/2022
15609669,1/14/2022
15612465,1/25/2022
15646091,1/28/2022
15775335,1/3/2022
15804002,1/26/2022
15631159,1/18/2022
15744529,1/28/2022
15598840,1/29/2022
15673367,1/19/2022
15738448,1/31/2022
15694879,1/25/2022
15722061,1/23/2022
15767681,1/17/2022
15596522,1/1/2022
15589715,1/6/2022
15664907,1/13/2022
15774744,1/24/2022
15775562,1/28/2022
15782530,1/8/2022
15711218,1/27/2022
15791174,1/21/2022
15667742,1/24/2022
15723373,1/8/2022
15625395,1/31/2022
15750335,1/12/2022
15671249,1/13/2022
15611430,1/2/2022
15619087,1/2/2022
15680243,1/17/2022
15753861,1/19/2022
15793890,1/7/2022
15691863,1/30/2022
15697686,1/2/2022
15704583,1/8/2022
15727696,1/14/2022
15764195,1/1/2022
15671655,1/18/2022
15684801,1/19/2022
15642725,1/1/2022
15724423,1/4/2022
15745232,1/11/2022
15583137,1/10/2022
15713912,1/23/2022
15747043,1/4/2022
15733973,1/2/2022
15594762,1/3/2022
15684861,1/23/2022
15577514,1/15/2022
15654456,1/3/2022
15624510,1/10/2022
15633531,1/12/2022
15694395,1/17/2022
15694288,1/28/2022
15708228,1/10/2022
15691808,1/13/2022
15614187,1/14/2022
15815236,1/6/2022
15678201,1/24/2022
15577806,1/4/2022
15573452,1/15/2022
15713144,1/28/2022
15639277,1/15/2022
15776348,1/4/2022
15595135,1/2/2022
15595228,1/8/2022
15786993,1/24/2022
15720943,1/28/2022
15689237,1/11/2022
15741094,1/10/2022
15578738,1/25/2022
15662901,1/20/2022
15813113,1/25/2022
15660541,1/22/2022
15613014,1/4/2022
15761950,1/20/2022
15596761,1/29/2022
15814553,1/12/2022
15629885,1/4/2022
15663939,1/17/2022
15619653,1/25/2022
15773447,1/2/2022
15610801,1/30/2022
15578006,1/23/2022
15670619,1/22/2022
15789432,1/1/2022
15663161,1/20/2022
15575002,1/27/2022
15811177,1/2/2022
15575247,1/20/2022
15629739,1/28/2022
15587419,1/1/2022
15583681,1/16/2022
15709441,1/17/2022
15701962,1/4/2022
15654230,1/31/2022
15672821,1/6/2022
15581282,1/3/2022
15663249,1/25/2022
15601550,1/26/2022
15699619,1/30/2022
15800215,1/17/2022
15772798,1/28/2022
15651983,1/16/2022
15709476,1/21/2022
15575694,1/15/2022
15801658,1/3/2022
15591433,1/22/2022
15699247,1/31/2022
15757837,1/31/2022
15724402,1/22/2022
15662067,1/2/2022
15753874,1/27/2022
15750056,1/12/2022
15717560,1/29/2022
15768293,1/20/2022
15670615,1/2/2022
15764419,1/13/2022
15694946,1/25/2022
15739160,1/14/2022
15767871,1/27/2022
15679651,1/25/2022
15789815,1/12/2022
15587013,1/2/2022
15794661,1/25/2022
15685576,1/2/2022
15593715,1/26/2022
15730688,1/14/2022
15810075,1/18/2022
15600379,1/17/2022
15591279,1/6/2022
15624755,1/4/2022
15679760,1/13/2022
15609653,1/2/2022
15660866,1/13/2022
15794566,1/30/2022
15694453,1/3/2022
15569641,1/15/2022
15759684,1/26/2022
15586757,1/19/2022
15671387,1/2/2022
15672330,1/10/2022
15746139,1/18/2022
15654574,1/2/2022
15697020,1/19/2022
15610403,1/19/2022
15617134,1/29/2022
15762228,1/17/2022
15584114,1/30/2022
15603319,1/7/2022
15622478,1/28/2022
15721592,1/15/2022
15734161,1/3/2022
15566689,1/2/2022
15619465,1/6/2022
15721835,1/4/2022
15668521,1/6/2022
15592570,1/15/2022
15755018,1/10/2022
15649487,1/22/2022
15715541,1/8/2022
15654901,1/17/2022
15605000,1/20/2022
15801247,1/10/2022
15744279,1/22/2022
15614420,1/16/2022
15701537,1/19/2022
15775590,1/31/2022
15675791,1/20/2022
15796351,1/9/2022
15574372,1/22/2022
15671766,1/13/2022
15798850,1/11/2022
15636428,1/8/2022
15766289,1/7/2022
15749130,1/11/2022
15622585,1/31/2022
15713463,1/30/2022
15810800,1/1/2022
15646936,1/22/2022
15779744,1/2/2022
15748589,1/29/2022
15757632,1/2/2022
15726358,1/23/2022
15789863,1/18/2022
15674206,1/7/2022
15666675,1/26/2022
15622171,1/2/2022
15603942,1/21/2022
15747097,1/14/2022
15774872,1/21/2022
15639576,1/4/2022
15708791,1/28/2022
15635893,1/11/2022
15810944,1/26/2022
15704987,1/14/2022
15736760,1/30/2022
15705113,1/20/2022
15814004,1/3/2022
15807909,1/18/2022
15721007,1/30/2022
15586996,1/24/2022
15734312,1/26/2022
15750447,1/2/2022
15631070,1/15/2022
15760570,1/2/2022
15733964,1/4/2022
15674331,1/6/2022
15728773,1/29/2022
15581198,1/17/2022
15782806,1/21/2022
15756932,1/30/2022
15667265,1/12/2022
15798659,1/14/2022
15706185,1/13/2022
15679297,1/20/2022
15678168,1/8/2022
15675185,1/27/2022
15622833,1/7/2022
15735878,1/24/2022
15638003,1/30/2022
15791373,1/6/2022
15606472,1/6/2022
15706071,1/17/2022
15727311,1/19/2022
15669656,1/31/2022
15724858,1/25/2022
15697997,1/15/2022
15576219,1/26/2022
15759066,1/1/2022
15697424,1/11/2022
15794253,1/14/2022
15685536,1/7/2022
15725794,1/15/2022
15667417,1/12/2022
15693264,1/27/2022
15709183,1/25/2022
15642885,1/9/2022
15584545,1/7/2022
15605327,1/30/2022
15581654,1/5/2022
15745083,1/25/2022
15692819,1/23/2022
15720745,1/20/2022
15637593,1/1/2022
15695679,1/21/2022
15807525,1/15/2022
15746737,1/24/2022
15655123,1/31/2022
15593014,1/30/2022
15772073,1/18/2022
15649668,1/7/2022
15707634,1/27/2022
15750839,2/18/2022
15796351,2/3/2022
15611430,2/20/2022
15708791,2/8/2022
15598840,2/27/2022
15589449,2/20/2022
15613014,2/28/2022
15663249,2/26/2022
15778368,2/14/2022
15599081,2/14/2022
15685346,2/22/2022
15794253,2/1/2022
15722061,2/4/2022
15692819,2/22/2022
15594762,2/6/2022
15774872,2/18/2022
15671249,2/18/2022
15691863,2/15/2022
15596522,2/8/2022
15588080,2/5/2022
15727696,2/23/2022
15779529,2/21/2022
15780572,2/14/2022
15694829,2/28/2022
15724536,2/27/2022
15584320,2/4/2022
15713912,2/7/2022
15733973,2/28/2022
15814553,2/19/2022
15646936,2/11/2022
15801336,2/28/2022
15734161,2/4/2022
15575247,2/3/2022
15749381,2/9/2022
15704583,2/7/2022
15714658,2/15/2022
15735878,2/19/2022
15701537,2/5/2022
15759684,2/7/2022
15596761,2/25/2022
15587419,2/21/2022
15775335,2/11/2022
15651983,2/18/2022
15769596,2/28/2022
15680587,2/17/2022
15672821,2/27/2022
15791373,2/26/2022
15586757,2/21/2022
15729908,2/11/2022
15735549,2/4/2022
15721007,2/15/2022
15577514,2/11/2022
15774744,2/2/2022
15807837,2/13/2022
15699619,2/2/2022
15621083,2/10/2022
15732987,2/18/2022
15614187,2/17/2022
15637593,2/17/2022
15654456,2/8/2022
15649487,2/22/2022
15800890,2/21/2022
15795224,2/9/2022
15795298,2/22/2022
15625395,2/28/2022
15665760,2/26/2022
15606472,2/28/2022
15654296,2/18/2022
15729054,2/28/2022
15654230,2/2/2022
15646227,2/23/2022
15764604,2/7/2022
15733883,2/2/2022
15705113,2/19/2022
15687491,2/11/2022
15688172,2/10/2022
15609669,2/12/2022
15577806,2/19/2022
15724150,2/24/2022
15672330,2/14/2022
15706071,2/14/2022
15631159,2/5/2022
15675949,2/9/2022
15622585,2/28/2022
15611191,2/18/2022
15574372,2/9/2022
15670615,2/25/2022
15806901,2/6/2022
15593715,2/17/2022
15736397,2/15/2022
15639576,2/25/2022
15619465,2/1/2022
15800515,2/8/2022
15646091,2/24/2022
15715622,2/23/2022
15668521,2/6/2022
15792818,2/17/2022
15600379,2/27/2022
15673539,2/28/2022
15747043,2/11/2022
15742204,2/23/2022
15635893,2/3/2022
15617482,2/15/2022
15789815,2/26/2022
15753102,2/21/2022
15727467,2/6/2022
15694288,2/27/2022
15778830,2/5/2022
15768072,2/8/2022
15807525,2/22/2022
15663161,2/25/2022
15678201,2/21/2022
15720745,2/4/2022
15768151,2/18/2022
15694879,2/4/2022
15750056,2/19/2022
15750447,2/10/2022
15664907,2/10/2022
15633531,2/19/2022
